Sy Filter,Sx Filter,,,,Sy Unfilter,Sx unFilter
0,0,,,,0,0
0.986199048,-0.165564001,,,,0.81854521,-0.137418121
1.985945601,-0.143051156,,,,1.75830697,-0.116256046
2.984900276,-0.188762848,,,,2.737282551,-0.161053504
3.984705799,-0.169041906,,,,3.727090019,-0.141529772
4.982425554,-0.101549011,,,,4.694878181,-0.076061664
5.981496477,-0.05845273,,,,5.673967686,-0.033827308
6.979389509,0.006427913,,,,6.651902857,0.029755721
7.97777127,0.063294952,,,,7.540462624,0.080367386
8.971959872,0.170947277,,,,8.504825568,0.184790141
9.971589236,0.198171049,,,,9.474466052,0.211197201
10.9710958,0.229581808,,,,10.45398248,0.241979745
11.97043692,0.265876683,,,,11.39336314,0.276096927
12.96684161,0.350598006,,,,12.31005545,0.354040543
13.96542509,0.40380541,,,,13.02903556,0.392349875
14.94671775,0.211283444,,,,13.62762408,0.274911475
15.83324456,-0.251393792,,,,14.15954016,-0.002694866
16.71977136,-0.714071027,,,,14.53188142,-0.197019305
17.68852791,-0.466057399,,,,14.9290716,-0.095333717
18.50213636,0.115355785,,,,15.29519541,0.166302216
18.6007614,1.110480451,,,,15.35634294,0.783279508
18.69712833,2.105826328,,,,15.39778071,1.211278236
19.15360521,2.995561599,,,,15.67166685,1.745119398
19.5649605,3.907036685,,,,15.84032251,2.118824183
19.57106911,4.907018027,,,,15.84380442,2.688813548
19.5782249,5.906992424,,,,15.84702453,3.138802027
19.51003548,6.904664817,,,,15.81224792,3.647614947
19.35273916,7.892216267,,,,15.73359976,4.141390672
19.22913768,8.884548204,,,,15.66685496,4.677249919
19.26944386,9.88373558,,,,15.6886203,5.216811101
19.28689627,10.88358328,,,,15.69978984,5.856713626
19.31900481,11.88306766,,,,15.72066039,6.506378479
19.33663172,12.8829123,,,,15.73440938,7.286257293
19.36036597,13.8826306,,,,15.75315944,8.076034752
19.46923285,14.87668694,,,,15.84569628,8.92098264
19.62842484,15.86393458,,,,15.99692868,9.8588679
19.84333063,16.84056937,,,,16.19034389,10.73783921
19.98250373,17.83083743,,,,16.31420795,11.61917779
20.10194746,18.82367841,,,,16.42887393,12.57230512
20.27043684,19.80938188,,,,16.58051438,13.45943824
20.35898345,20.80545391,,,,16.66551912,14.4156674
20.39946403,21.80463424,,,,16.70761892,15.45481493
20.37991758,22.80444319,,,,16.68944072,16.38463726
20.38166291,23.80444166,,,,16.69111624,17.3446358
20.35670729,24.80413022,,,,16.66715885,18.30433681
20.32233108,25.80353919,,,,16.63484521,19.24378124
20.26267626,26.80175825,,,,16.57876968,20.18210716
20.26110546,27.80175702,,,,16.57729313,21.122106
20.31065252,28.80052881,,,,16.62386736,22.06095148
20.43927504,29.79222243,,,,16.73705517,22.93364188
20.40524769,30.79164334,,,,16.71323603,23.63323651
20.37122033,31.79106424,,,,16.70506946,23.87309752
19.81957446,32.62514267,,,,16.44579591,24.26511439
19.00994239,33.2120804,,,,16.12194307,24.49988948
18.02630796,33.0319046,,,,15.45307167,24.37736993
17.05062017,32.8127395,,,,14.5554389,24.17573804
16.05809531,32.69069693,,,,13.96984923,24.10373292
15.05941151,32.63940676,,,,13.36065212,24.07244592
14.06624087,32.52273602,,,,12.78461314,24.00477689
13.07294858,32.4071054,,,,12.158839,23.9319296
12.08205916,32.27242741,,,,11.56430535,23.85112281
11.08981376,32.14813318,,,,10.70105185,23.74298683
10.15344754,31.79710853,,,,10.15795944,23.53939253
9.240898653,31.38814089,,,,9.829441841,23.39216418
8.625099654,30.60023761,,,,9.466120432,22.92730124
8.319072011,29.64821498,,,,9.135610578,21.89911681
8.35571572,28.64888658,,,,9.176285095,20.78986229
8.464929579,27.65486831,,,,9.301881033,19.64674127
8.60513961,26.66474652,,,,9.467328869,18.47839757
8.733762126,25.6730529,,,,9.615244762,17.3379499
8.831171324,24.67780848,,,,9.704861224,16.42232503
8.881938573,23.67909797,,,,9.760197525,15.33373058
8.968746572,22.68287291,,,,9.854818245,14.24784526
9.05781471,21.68684737,,,,9.937651613,13.32154151
9.102480274,20.68784538,,,,9.975617343,12.47238982
9.127959324,19.68817002,,,,9.996764954,11.64265927
9.22449997,18.69284098,,,,10.08461694,10.73690984
9.289728939,17.69497066,,,,10.15180278,9.709103408
9.444266892,16.7069838,,,,10.29861384,8.770515898
9.567521972,15.71460878,,,,10.36147393,8.264404636
9.688698358,14.72197779,,,,10.41842683,7.797868071
9.735979147,13.72309615,,,,10.45341461,7.058695659
9.775762152,12.72388781,,,,10.47967139,6.399218152
9.860657378,11.72749793,,,,10.55692605,5.492503358
9.999311957,10.73715712,,,,10.70251336,4.452645514
10.04205949,9.738071215,,,,10.74654332,3.423587031
10.13460387,8.742362654,,,,10.83631136,2.457749726
10.21045277,7.745243332,,,,10.89699049,1.660054268
10.28804186,6.748257909,,,,10.95750998,0.882405638
10.37971728,5.752468967,,,,11.05926969,-0.222920088
10.43641007,4.754077296,,,,11.11879712,-1.271231342
10.51382515,3.757078347,,,,11.20317956,-2.357960196
10.62373294,2.763136559,,,,11.31308735,-3.351901985
10.76031305,1.77250753,,,,11.44693586,-4.322718433
10.90155986,0.782533116,,,,11.60089488,-5.401790544
11.03018238,-0.20916051,,,,11.73337607,-6.423234979
11.10359464,-1.20646219,,,,11.80164947,-7.350725541
11.27655525,-2.191390932,,,,11.95904363,-8.247010696
11.91492012,-2.96112484,,,,12.49527012,-8.893587179
12.86224225,-3.281407172,,,,13.40469937,-9.201058218
13.85694507,-3.384199709,,,,14.00152106,-9.26273374
14.85262127,-3.291307774,,,,15.13659192,-9.156836934
15.84271857,-3.150924936,,,,15.89896684,-9.048742149
16.83821459,-3.056121613,,,,16.57590414,-8.984275889
17.83188485,-2.943785497,,,,16.97337224,-8.939341443
18.81513976,-2.761549971,,,,17.52399499,-8.837289548
19.80145415,-2.596674507,,,,17.94811018,-8.766393099
20.79824701,-2.516649555,,,,18.97480683,-8.683967398
21.78863616,-2.378340679,,,,19.5789442,-8.599598984
22.74868601,-2.098511665,,,,20.34698409,-8.375735772
23.5378773,-1.484364195,,,,20.81260695,-8.013388765
24.30772261,-0.846133676,,,,20.98197292,-7.872978051
24.88344161,-0.028486056,,,,21.20650333,-7.554095479
24.8932153,0.97146618,,,,21.21549512,-6.634139422
24.9251494,1.970956157,,,,21.24583251,-5.684623944
24.9617931,2.97028455,,,,21.28174335,-4.705282118
25.00628431,3.969294327,,,,21.3244549,-3.746232733
25.03647392,4.968838516,,,,21.35313503,-2.796665753
25.00837781,5.968443743,,,,21.33571545,-2.176910512
24.98394564,6.968145233,,,,21.32594257,-1.777029916
24.96823832,7.968021865,,,,21.31714648,-1.217099002
25.11086725,8.957798096,,,,21.45549654,-0.257016058
25.21678423,9.952173073,,,,21.55399933,0.66775267
25.23318959,10.9520385,,,,21.56942037,1.607626168
25.2370293,11.95203112,,,,21.5729913,2.537619312
25.29128239,12.95055834,,,,21.62236161,3.446279079
25.39216505,13.94545667,,,,21.71214718,4.331738594
25.67751888,14.90387891,,,,22.0117687,5.338081946
25.81271568,15.89469768,,,,22.13885369,6.269451585
25.84116071,16.89429304,,,,22.16502312,7.189079315
25.856519,17.89417509,,,,22.17884558,8.088973164
25.83732156,18.8939908,,,,22.16137591,8.998805462
25.78254565,19.89248948,,,,22.10824328,9.967349175
25.73822881,20.891507,,,,22.06880129,10.85647477
25.7169374,21.89128031,,,,22.04857445,11.80625942
25.71728646,22.89128025,,,,22.04889559,12.72625936
25.76073148,23.89033607,,,,22.09147171,13.70533407
25.84719173,24.88659137,,,,22.15199388,14.40271278
25.97581425,25.878285,,,,22.23945719,15.07706444
26.08277247,26.87254852,,,,22.29186672,15.56425357
26.16627639,27.86905596,,,,22.32693837,15.98278669
26.13887815,28.86868056,,,,22.31022544,16.5925577
26.04007943,29.863788,,,,22.23810237,17.31898613
25.90747704,30.85495731,,,,22.14130263,18.04253973
25.21168959,31.57320506,,,,21.72383017,18.47348838
24.22589804,31.7411783,,,,21.10278149,18.57931152
23.23389309,31.61497933,,,,20.32901763,18.48087632
22.25270136,31.42194359,,,,19.55387616,18.32837809
21.26085134,31.29453275,,,,18.90917364,18.24556104
20.26897909,31.16729503,,,,18.35372518,18.17430791
19.27957965,31.02207536,,,,17.81944949,18.09588929
18.29399405,30.85289787,,,,17.21824227,17.99269102
17.30009068,30.74264314,,,,16.56226605,17.9199229
16.30784528,30.61834891,,,,15.90738408,17.83788871
15.32121617,30.45536734,,,,15.49299986,17.76943645
14.48368813,29.90897299,,,,14.95698191,17.41974407
14.05333457,29.00631258,,,,14.50511067,16.47195064
13.8455936,28.02812871,,,,14.24751187,15.25900264
13.95341944,27.03395891,,,,14.39738979,13.87710662
14.09760293,26.04440794,,,,14.57040998,12.68964546
14.21444701,25.05125767,,,,14.70945444,11.50779663
14.34168473,24.05938542,,,,14.86213971,10.31754993
14.55147395,23.08163878,,,,15.1033973,9.193141299
14.72752795,22.09725827,,,,15.28297238,8.189073178
14.83396556,21.10293889,,,,15.40111813,7.085378664
14.87200456,20.10366263,,,,15.44904727,5.826290582
14.92695474,19.10517354,,,,15.5204825,4.528254755
14.91403966,18.10525694,,,,15.50459696,3.298357341
14.85299112,17.10712214,,,,15.43683308,2.190427715
14.85159486,16.10712312,,,,15.43546474,1.21042867
14.86381186,15.10719775,,,,15.44670438,0.29049733
14.72342902,14.11710045,,,,15.30211006,-0.729302887
14.66795604,13.11864026,,,,15.23887086,-1.867547502
14.67930044,12.11870461,,,,15.25293791,-3.107467708
14.74400691,11.12080027,,,,15.32993862,-4.294973873
14.92624244,10.13754536,,,,15.55044361,-5.484712311
14.98241246,9.139124143,,,,15.62908164,-6.882502016
15.06069756,8.142193131,,,,15.72145806,-8.058880611
15.15324194,7.14648457,,,,15.80937521,-9.004803744
15.27095265,6.153436642,,,,15.90825221,-9.838964003
15.37895201,5.159285678,,,,16.00869162,-10.7635244
15.5367654,4.171816724,,,,16.14756739,-11.63249708
15.68060346,3.182215486,,,,16.29715898,-12.66168237
15.78686753,2.187877541,,,,16.40236041,-13.64607693
15.89556091,1.193802218,,,,16.51105379,-14.64015226
16.02504879,0.202221213,,,,16.64831095,-15.69122812
16.19061279,-0.783977835,,,,16.82049751,-16.71687513
16.33427814,-1.773604162,,,,16.94979632,-17.60753882
