system_time,#gps,#glonass,maxGPS_Cn0,maxGLONASS_Cn0,isGPSfix
1521988736879,12,0,0.0,-1.0,false
1521988737907,12,0,0.0,-1.0,false
1521988738901,12,0,0.0,-1.0,false
1521988739900,12,0,0.0,-1.0,false
1521988740895,12,0,0.0,-1.0,false
1521988741925,12,0,0.0,-1.0,false
1521988742900,12,0,0.0,-1.0,false
1521988743902,12,0,0.0,-1.0,false
1521988744901,12,0,0.0,-1.0,false
1521988745901,12,0,0.0,-1.0,false
1521988746920,12,0,0.0,-1.0,false
1521988747902,12,0,0.0,-1.0,false
1521988748902,12,0,0.0,-1.0,false
1521988749901,12,0,0.0,-1.0,false
1521988750929,12,0,0.0,-1.0,false
1521988751900,12,0,0.0,-1.0,false
1521988752901,12,0,0.0,-1.0,false
1521988753899,12,0,0.0,-1.0,false
1521988754920,12,0,0.0,-1.0,false
1521988755901,12,0,0.0,-1.0,false
1521988756902,12,0,0.0,-1.0,false
1521988757909,12,0,0.0,-1.0,false
1521988758904,12,0,0.0,-1.0,false
1521988759900,12,0,0.0,-1.0,false
1521988760901,12,0,0.0,-1.0,false
1521988761901,12,0,0.0,-1.0,false
1521988762904,12,0,0.0,-1.0,false
1521988763900,12,0,0.0,-1.0,false
1521988764902,12,0,0.0,-1.0,false
1521988765903,12,0,0.0,-1.0,false
1521988766902,12,0,0.0,-1.0,false
1521988767907,12,0,0.0,-1.0,false
1521988768902,12,0,0.0,-1.0,false
1521988769902,12,0,0.0,-1.0,false
1521988770904,12,0,0.0,-1.0,false
1521988771902,12,0,0.0,-1.0,false
1521988772903,12,0,0.0,-1.0,false
1521988773986,12,0,0.0,-1.0,false
1521988774910,12,0,0.0,-1.0,false
1521988775908,12,0,0.0,-1.0,false
1521988776901,12,0,0.0,-1.0,false
1521988777905,12,0,0.0,-1.0,false
1521988778906,12,0,0.0,-1.0,false
1521988779902,12,0,0.0,-1.0,false
1521988780968,12,0,0.0,-1.0,false
1521988781901,12,0,0.0,-1.0,false
1521988782901,12,0,0.0,-1.0,false
1521988783902,12,0,0.0,-1.0,false
1521988784902,12,0,0.0,-1.0,false
1521988785925,12,0,0.0,-1.0,false
1521988786907,12,0,0.0,-1.0,false
1521988787911,12,0,0.0,-1.0,false
1521988788909,12,0,0.0,-1.0,false
1521988789901,12,0,0.0,-1.0,false
1521988790909,12,0,0.0,-1.0,false
1521988791925,12,0,0.0,-1.0,false
1521988792879,12,0,0.0,-1.0,false
1521988793905,12,0,0.0,-1.0,false
1521988794905,12,0,0.0,-1.0,false
1521988795912,12,0,0.0,-1.0,false
1521988796905,12,0,0.0,-1.0,false
1521988797879,12,0,0.0,-1.0,false
1521988798910,12,0,0.0,-1.0,false
1521988799909,12,0,0.0,-1.0,false
1521988800907,12,0,0.0,-1.0,false
1521988801899,12,0,0.0,-1.0,false
1521988802918,12,0,0.0,-1.0,false
1521988803923,12,0,0.0,-1.0,false
1521988804879,12,0,0.0,-1.0,false
1521988805927,12,0,0.0,-1.0,false
1521988806931,12,0,0.0,-1.0,false
1521988807932,12,0,0.0,-1.0,false
1521988808929,12,0,0.0,-1.0,false
1521988809903,12,0,0.0,-1.0,false
1521988810937,12,0,0.0,-1.0,false
1521988811934,12,0,0.0,-1.0,false
1521988812888,12,0,0.0,-1.0,false
1521988813947,12,0,0.0,-1.0,false
1521988814924,12,0,0.0,-1.0,false
1521988815933,12,0,0.0,-1.0,false
1521988816930,12,0,0.0,-1.0,false
1521988817906,12,0,0.0,-1.0,false
1521988818946,12,0,0.0,-1.0,false
1521988819931,12,0,0.0,-1.0,false
1521988820910,12,0,0.0,-1.0,false
1521988821943,12,0,0.0,-1.0,false
1521988822906,12,0,0.0,-1.0,false
1521988823941,12,0,0.0,-1.0,false
1521988824918,12,0,0.0,-1.0,false
1521988825919,12,0,0.0,-1.0,false
1521988826923,12,0,0.0,-1.0,false
1521988827919,12,0,0.0,-1.0,false
1521988828920,12,0,0.0,-1.0,false
1521988829912,12,0,0.0,-1.0,false
1521988830903,12,0,0.0,-1.0,false
1521988831929,12,0,0.0,-1.0,false
1521988832917,12,0,0.0,-1.0,false
1521988833930,12,0,0.0,-1.0,false
1521988834919,12,0,0.0,-1.0,false
1521988835919,12,0,0.0,-1.0,false
1521988836900,12,0,0.0,-1.0,false
1521988837919,12,0,0.0,-1.0,false
1521988838941,12,0,0.0,-1.0,false
1521988839992,12,0,0.0,-1.0,false
1521988840912,12,0,0.0,-1.0,false
1521988841949,12,0,0.0,-1.0,false
1521988842922,12,0,0.0,-1.0,false
1521988843902,12,0,0.0,-1.0,false
1521988844927,12,0,0.0,-1.0,false
1521988845927,12,0,0.0,-1.0,false
1521988846910,12,0,0.0,-1.0,false
1521988847897,12,0,0.0,-1.0,false
1521988848920,12,0,0.0,-1.0,false
1521988849878,12,0,0.0,-1.0,false
1521988850929,12,0,0.0,-1.0,false
1521988851918,12,0,0.0,-1.0,false
1521988853011,12,0,0.0,-1.0,false
1521988853919,12,0,0.0,-1.0,false
1521988854902,12,0,0.0,-1.0,false
1521988855920,12,0,0.0,-1.0,false
1521988856922,12,0,0.0,-1.0,false
1521988857880,12,0,0.0,-1.0,false
1521988858929,12,0,0.0,-1.0,false
1521988859929,12,0,0.0,-1.0,false
1521988860930,12,0,0.0,-1.0,false
1521988861918,12,0,0.0,-1.0,false
1521988862901,12,0,0.0,-1.0,false
1521988863922,12,0,0.0,-1.0,false
1521988864920,12,0,0.0,-1.0,false
1521988865919,12,0,0.0,-1.0,false
1521988866912,12,0,0.0,-1.0,false
1521988867999,12,0,0.0,-1.0,false
1521988868923,12,0,0.0,-1.0,false
1521988869922,12,0,0.0,-1.0,false
1521988870919,12,0,0.0,-1.0,false
1521988871930,12,0,25.5,-1.0,false
1521988872918,12,0,20.100000381469727,-1.0,false
1521988873920,12,0,17.899999618530273,-1.0,false
1521988874923,12,0,19.600000381469727,-1.0,false
1521988875925,12,0,18.399999618530273,-1.0,false
1521988876922,12,0,17.600000381469727,-1.0,false
1521988877919,12,0,18.299999237060547,-1.0,false
1521988878920,12,0,18.799999237060547,-1.0,false
1521988879918,12,0,18.0,-1.0,false
1521988880923,12,0,17.5,-1.0,false
1521988881919,12,0,16.5,-1.0,false
1521988882920,12,0,16.600000381469727,-1.0,false
1521988883925,12,0,21.399999618530273,-1.0,false
1521988884919,12,0,20.5,-1.0,false
1521988885930,12,0,19.600000381469727,-1.0,false
1521988886924,12,0,19.799999237060547,-1.0,false
1521988887912,12,0,19.799999237060547,-1.0,false
1521988888914,12,0,19.600000381469727,-1.0,false
1521988889919,12,0,19.100000381469727,-1.0,false
1521988890912,12,0,18.399999618530273,-1.0,false
1521988891926,12,0,18.399999618530273,-1.0,false
1521988892918,12,0,17.899999618530273,-1.0,false
1521988893901,12,0,17.700000762939453,-1.0,false
1521988894879,12,0,17.899999618530273,-1.0,false
1521988895902,12,0,15.5,-1.0,false
1521988896919,12,0,15.899999618530273,-1.0,false
1521988897916,12,0,16.200000762939453,-1.0,false
1521988898907,12,0,18.799999237060547,-1.0,false
1521988899918,12,0,19.399999618530273,-1.0,false
1521988900923,12,0,19.899999618530273,-1.0,false
1521988901920,12,0,19.399999618530273,-1.0,false
1521988902878,12,0,17.700000762939453,-1.0,false
1521988903924,12,0,16.5,-1.0,false
1521988904922,12,0,14.199999809265137,-1.0,false
1521988905957,12,0,23.200000762939453,-1.0,false
1521988906923,12,0,22.700000762939453,-1.0,false
1521988907923,12,0,20.5,-1.0,false
1521988908918,12,0,19.0,-1.0,false
1521988909914,12,0,18.0,-1.0,false
1521988910923,12,0,18.899999618530273,-1.0,false
1521988911920,12,0,19.899999618530273,-1.0,false
1521988912881,12,0,18.899999618530273,-1.0,false
1521988913906,12,0,18.200000762939453,-1.0,false
1521988914923,12,0,16.600000381469727,-1.0,false
1521988915925,12,0,15.600000381469727,-1.0,false
1521988916918,12,0,15.0,-1.0,false
1521988917913,12,0,14.600000381469727,-1.0,false
1521988918919,12,0,14.300000190734863,-1.0,false
1521988919920,12,0,14.5,-1.0,false
1521988920903,12,0,14.600000381469727,-1.0,false
1521988921927,12,0,14.300000190734863,-1.0,false
1521988922904,12,0,14.0,-1.0,false
1521988923923,12,0,13.899999618530273,-1.0,false
1521988924892,12,0,13.5,-1.0,false
1521988925919,12,0,13.300000190734863,-1.0,false
1521988926927,12,0,13.300000190734863,-1.0,false
1521988927978,12,0,13.300000190734863,-1.0,false
1521988928925,12,0,13.699999809265137,-1.0,false
1521988929919,12,0,13.699999809265137,-1.0,false
1521988930920,12,0,13.399999618530273,-1.0,false
1521988931931,12,0,13.399999618530273,-1.0,false
1521988932927,12,0,13.5,-1.0,false
1521988933935,12,0,13.5,-1.0,false
1521988934919,12,0,12.300000190734863,-1.0,false
1521988935922,12,0,11.199999809265137,-1.0,false
1521988936901,12,0,11.199999809265137,-1.0,false
1521988937926,12,0,11.199999809265137,-1.0,false
1521988938918,12,0,12.0,-1.0,false
1521988939920,12,0,12.0,-1.0,false
1521988940922,12,0,12.0,-1.0,false
1521988941939,12,0,0.0,-1.0,false
1521988942912,12,0,0.0,-1.0,false
1521988943920,12,0,0.0,-1.0,false
1521988944912,12,0,0.0,-1.0,false
1521988945918,12,0,0.0,-1.0,false
1521988946923,12,0,22.799999237060547,-1.0,false
1521988947913,12,0,21.100000381469727,-1.0,false
1521988948920,12,0,23.799999237060547,-1.0,false
1521988949922,12,0,24.100000381469727,-1.0,false
1521988950906,12,0,24.899999618530273,-1.0,false
1521988951911,12,0,26.700000762939453,-1.0,false
1521988952918,12,0,25.899999618530273,-1.0,false
1521988953899,12,0,25.899999618530273,-1.0,false
1521988954920,12,0,25.5,-1.0,false
1521988955924,12,0,30.0,-1.0,false
1521988956980,12,0,29.299999237060547,-1.0,false
1521988957928,12,0,26.700000762939453,-1.0,false
1521988958932,12,0,25.100000381469727,-1.0,false
1521988959946,12,0,24.100000381469727,-1.0,false
1521988960920,12,0,24.299999237060547,-1.0,false
1521988961920,12,0,24.399999618530273,-1.0,false
1521988962985,12,0,26.100000381469727,-1.0,false
1521988963922,12,0,30.0,-1.0,false
1521988964924,12,0,28.399999618530273,-1.0,false
1521988965920,12,0,29.799999237060547,-1.0,false
1521988966914,12,0,29.899999618530273,-1.0,false
1521988967911,12,0,28.399999618530273,-1.0,false
1521988968931,12,0,25.200000762939453,-1.0,false
1521988969918,12,0,27.299999237060547,-1.0,false
1521988970932,12,0,29.200000762939453,-1.0,false
1521988971919,12,0,27.899999618530273,-1.0,false
1521988972924,12,0,25.5,-1.0,false
1521988973920,12,0,24.299999237060547,-1.0,false
1521988974929,12,0,22.0,-1.0,false
1521988975912,12,0,21.899999618530273,-1.0,false
1521988976918,12,0,20.399999618530273,-1.0,false
1521988977981,12,0,19.700000762939453,-1.0,false
1521988978926,12,0,19.299999237060547,-1.0,false
1521988979919,12,0,19.299999237060547,-1.0,false
1521988980953,12,0,21.100000381469727,-1.0,false
1521988981913,12,0,24.700000762939453,-1.0,false
1521988982909,12,0,23.299999237060547,-1.0,false
1521988983977,12,0,21.399999618530273,-1.0,false
1521988984930,12,0,20.200000762939453,-1.0,false
1521988985918,12,0,19.299999237060547,-1.0,false
1521988986919,12,0,19.899999618530273,-1.0,false
1521988987927,12,0,19.0,-1.0,false
1521988988914,12,0,22.299999237060547,-1.0,false
1521988989954,12,0,22.799999237060547,-1.0,true
1521988990969,12,0,21.200000762939453,-1.0,true
1521988991958,12,0,19.5,-1.0,true
1521988992951,12,0,18.399999618530273,-1.0,true
1521988993945,12,0,17.600000381469727,-1.0,true
1521988994956,12,0,20.0,-1.0,true
1521988995955,12,0,19.399999618530273,-1.0,true
1521988996952,12,0,18.799999237060547,-1.0,true
1521988997962,12,0,17.899999618530273,-1.0,true
1521988998958,12,0,22.200000762939453,-1.0,true
1521988999954,12,0,22.200000762939453,-1.0,true
1521989000954,12,0,22.200000762939453,-1.0,true
1521989001954,12,0,22.200000762939453,-1.0,true
1521989002908,12,0,22.799999237060547,-1.0,true
1521989003990,12,0,22.799999237060547,-1.0,true
1521989004954,12,0,22.799999237060547,-1.0,true
1521989005950,12,0,20.399999618530273,-1.0,true
1521989006951,12,0,19.5,-1.0,true
1521989007969,12,0,18.600000381469727,-1.0,true
1521989008919,12,0,17.700000762939453,-1.0,true
1521989009919,12,0,17.0,-1.0,true
1521989010930,12,0,16.5,-1.0,true
1521989011919,12,0,16.100000381469727,-1.0,false
1521989012900,12,0,14.800000190734863,-1.0,false
1521989013900,12,0,14.0,-1.0,false
1521989014923,12,0,16.899999618530273,-1.0,false
1521989015905,12,0,18.200000762939453,-1.0,false
1521989016930,12,0,18.200000762939453,-1.0,false
1521989017931,12,0,16.600000381469727,-1.0,false
1521989019008,12,0,15.199999809265137,-1.0,false
1521989019924,12,0,14.300000190734863,-1.0,false
1521989020919,12,0,13.699999809265137,-1.0,false
1521989021926,12,0,12.800000190734863,-1.0,false
1521989022900,12,0,12.800000190734863,-1.0,false
1521989023904,12,0,15.199999809265137,-1.0,false
1521989025024,12,0,15.199999809265137,-1.0,false
1521989025920,12,0,15.199999809265137,-1.0,false
1521989026920,12,0,14.399999618530273,-1.0,false
1521989027922,12,0,13.800000190734863,-1.0,false
1521989028942,12,0,13.600000381469727,-1.0,false
1521989029920,12,0,13.399999618530273,-1.0,false
1521989030913,12,0,13.300000190734863,-1.0,false
1521989031922,12,0,13.399999618530273,-1.0,false
1521989032918,12,0,13.5,-1.0,false
1521989033930,12,0,12.199999809265137,-1.0,false
1521989034919,12,0,11.300000190734863,-1.0,false
1521989035920,12,0,11.100000381469727,-1.0,false
1521989036914,12,0,11.0,-1.0,false
1521989037930,12,0,0.0,-1.0,false
1521989038920,12,0,0.0,-1.0,false
1521989039919,12,0,0.0,-1.0,false
1521989040925,12,0,0.0,-1.0,false
1521989041919,12,0,0.0,-1.0,false
1521989042892,12,0,0.0,-1.0,false
1521989043927,12,0,0.0,-1.0,false
1521989044918,12,0,0.0,-1.0,false
1521989045975,12,0,24.200000762939453,-1.0,false
1521989046913,12,0,19.299999237060547,-1.0,false
1521989047919,12,0,27.799999237060547,-1.0,false
1521989048974,12,0,26.700000762939453,-1.0,false
1521989049919,12,0,26.399999618530273,-1.0,false
1521989050914,12,0,23.299999237060547,-1.0,false
1521989051914,12,0,27.399999618530273,-1.0,false
1521989052923,12,0,24.5,-1.0,false
1521989053931,12,0,29.200000762939453,-1.0,false
1521989054959,12,0,28.399999618530273,-1.0,false
1521989055923,12,0,30.200000762939453,-1.0,false
1521989056942,12,0,30.100000381469727,-1.0,false
1521989057931,12,0,27.700000762939453,-1.0,false
1521989058958,12,0,25.200000762939453,-1.0,true
1521989059956,12,0,33.79999923706055,-1.0,true
1521989061005,12,0,23.899999618530273,-1.0,true
1521989061951,12,0,26.5,-1.0,true
1521989062933,11,0,30.5,-1.0,true
1521989064043,11,0,28.899999618530273,-1.0,true
1521989064944,11,0,27.700000762939453,-1.0,true
1521989065984,11,0,30.5,-1.0,true
1521989066996,10,0,27.799999237060547,-1.0,true
1521989067950,10,0,26.700000762939453,-1.0,true
1521989068928,10,0,33.0,-1.0,true
1521989070010,10,0,24.299999237060547,-1.0,true
1521989070949,10,0,26.399999618530273,-1.0,true
1521989071942,10,0,28.0,-1.0,true
1521989072952,10,0,26.700000762939453,-1.0,true
1521989073953,10,0,24.200000762939453,-1.0,true
1521989074916,10,0,21.700000762939453,-1.0,true
1521989075988,10,0,19.299999237060547,-1.0,true
1521989076952,10,0,17.899999618530273,-1.0,true
1521989077919,10,0,16.600000381469727,-1.0,true
1521989078980,10,0,15.699999809265137,-1.0,true
1521989079930,10,0,15.0,-1.0,false
1521989080902,10,0,14.600000381469727,-1.0,false
1521989081908,10,0,13.800000190734863,-1.0,false
1521989082927,10,0,13.399999618530273,-1.0,false
1521989083980,10,0,12.800000190734863,-1.0,false
1521989084951,10,0,12.5,-1.0,false
1521989085919,10,0,12.300000190734863,-1.0,false
1521989086918,10,0,11.800000190734863,-1.0,false
1521989087980,10,0,11.600000381469727,-1.0,false
1521989088925,10,0,11.600000381469727,-1.0,false
1521989089921,10,0,11.600000381469727,-1.0,false
1521989090985,10,0,11.600000381469727,-1.0,false
1521989091921,10,0,19.100000381469727,-1.0,false
1521989092918,10,0,18.899999618530273,-1.0,false
1521989093900,10,0,17.399999618530273,-1.0,false
1521989094920,10,0,16.100000381469727,-1.0,false
1521989095926,10,0,15.300000190734863,-1.0,false
1521989096986,10,0,14.800000190734863,-1.0,false
1521989097924,10,0,15.0,-1.0,false
1521989098899,10,0,15.100000381469727,-1.0,false
1521989099988,10,0,14.0,-1.0,false
1521989100922,10,0,13.300000190734863,-1.0,false
1521989101902,10,0,12.800000190734863,-1.0,false
1521989102950,10,0,13.100000381469727,-1.0,false
1521989103917,10,0,13.300000190734863,-1.0,false
1521989104917,10,0,12.600000381469727,-1.0,false
1521989105988,10,0,12.100000381469727,-1.0,false
1521989106918,10,0,11.699999809265137,-1.0,false
1521989107923,10,0,0.0,-1.0,false
1521989108922,10,0,0.0,-1.0,false
1521989109921,10,0,0.0,-1.0,false
1521989110898,10,0,0.0,-1.0,false
1521989111935,10,0,0.0,-1.0,false
1521989112921,10,0,0.0,-1.0,false
1521989113921,10,0,0.0,-1.0,false
1521989114900,10,0,0.0,-1.0,false
1521989115921,10,0,0.0,-1.0,false
1521989116921,10,0,0.0,-1.0,false
1521989117900,10,0,0.0,-1.0,false
1521989118918,10,0,0.0,-1.0,false
1521989119922,10,0,0.0,-1.0,false
1521989120877,10,0,0.0,-1.0,false
1521989121918,10,0,0.0,-1.0,false
1521989122918,10,0,0.0,-1.0,false
1521989123914,10,0,0.0,-1.0,false
1521989124927,10,0,0.0,-1.0,false
1521989125945,10,0,0.0,-1.0,false
1521989126926,10,0,0.0,-1.0,false
1521989127903,10,0,0.0,-1.0,false
1521989128918,10,0,0.0,-1.0,false
1521989129919,10,0,20.399999618530273,-1.0,false
1521989130945,10,0,20.799999237060547,-1.0,false
1521989131922,10,0,20.399999618530273,-1.0,false
1521989132923,10,0,21.399999618530273,-1.0,false
1521989133886,10,0,19.299999237060547,-1.0,false
